City,Country,Cloudiness,Humidity,Lat,Lon,Temp,Wind_Speed
Oussouye,SN,0,54,12,-16,85,9.0
Tokonou,GN,64,94,9,-9,71,4.0
Yendi,GH,32,47,9,0,84,6.0
Bauchi,NG,0,27,10,9,75,6.0
Am Timan,TD,0,21,11,20,78,9.0
Kavaratti,IN,0,100,10,72,83,4.0
Valvedditturai,LK,80,95,9,80,80,10.0
Port Blair,IN,0,98,11,92,84,4.0
Ko Samui,TH,0,100,9,99,81,6.0
Osmena,PH,44,100,12,124,72,3.0
Bacolod,PH,8,90,10,122,71,4.0
Ewa Beach,US,1,78,21,-158,72,9.0
Guerrero Negro,MX,0,63,27,-114,62,11.0
Acapulco,MX,5,70,16,-99,84,6.0
San Agustin Acasaguastlan,GT,0,34,14,-89,79,1.0
San Andres,CO,20,62,8,-76,87,18.0
Oranjestad,AW,20,66,12,-70,84,12.0
Le Vauclin,MQ,20,58,14,-60,82,11.0
Bathsheba,BB,40,69,13,-59,80,17.0
Ponta do Sol,CV,0,100,17,-25,69,6.0
Porto Novo,CV,20,53,17,-25,75,10.0
Dakar,SN,20,83,14,-17,69,9.0
Gorom-Gorom,BF,0,24,14,0,86,12.0
Goure,NE,0,17,13,10,76,9.0
Biltine,TD,0,26,14,20,73,8.0
Salalah,OM,0,73,17,54,75,3.0
Kavali,IN,0,91,14,79,64,3.0
Doembang Nangbuat,TH,0,96,14,100,71,3.0
Quang Ngai,VN,8,99,15,108,65,2.0
San Narciso,PH,40,83,15,120,78,5.0
San Policarpo,PH,92,100,12,125,76,4.0
Lompoc,US,1,41,34,-120,55,6.0
Constitucion,MX,20,16,23,-104,75,24.0
Temascalcingo,MX,48,56,19,-100,68,3.0
Hecelchakan,MX,20,36,20,-90,91,11.0
Bodden Town,KY,20,61,19,-81,82,16.0
Sosua,DO,40,74,19,-70,81,11.0
Nouadhibou,MR,0,68,20,-17,69,12.0
Atar,MR,0,33,20,-13,64,5.0
Tessalit,ML,0,37,20,1,72,6.0
Arlit,NE,0,24,18,7,70,10.0
Marawi,SD,0,25,18,31,74,14.0
Mecca,SA,0,36,21,39,80,3.0
Sur,OM,0,90,22,59,74,5.0
Veraval,IN,20,56,20,70,79,12.0
Mul,IN,0,68,20,79,65,2.0
Mathbaria,BD,0,89,22,89,73,5.0
Chiang Rai,TH,0,100,19,99,66,2.0
Lingao,CN,0,97,19,109,63,3.0
Davila,PH,40,88,18,120,75,2.0
Itoman,JP,20,68,26,127,63,14.0
Naze,JP,0,100,28,129,62,22.0
Katsuura,JP,24,78,33,134,51,18.0
La Paz,MX,75,45,24,-110,66,13.0
Galeana,MX,12,34,24,-100,78,7.0
Progreso,MX,20,31,20,-99,80,3.0
Key Largo,US,40,61,25,-80,81,11.0
Cockburn Town,TC,0,100,21,-71,75,12.0
The Valley,AI,20,54,18,-63,80,9.0
Los Llanos de Aridane,ES,75,60,28,-17,68,24.0
Tiznit,MA,88,94,29,-9,60,17.0
Adrar,DZ,0,25,27,0,84,18.0
Awjilah,LY,0,46,29,21,64,11.0
Sohag,EG,0,55,26,31,54,3.0
Umm Lajj,SA,0,100,25,37,62,8.0
Umm Bab,QA,0,95,25,50,62,8.0
Chabahar,IR,0,100,25,60,71,3.0
Mithi,PK,80,46,24,69,68,3.0
Khajuraho,IN,48,69,24,79,61,2.0
Sherpur,BD,0,89,25,90,61,2.0
Dali,CN,0,100,25,100,35,1.0
Guilin,CN,20,87,25,110,60,2.0
Gushikawa,JP,20,68,26,127,63,14.0
Shingu,JP,24,94,33,135,58,35.0
Hasaki,JP,75,100,35,140,52,14.0
Kahului,US,40,64,20,-156,68,6.0
Pacific Grove,US,20,58,36,-121,51,5.0
Rosarito,MX,90,52,27,-109,64,16.0
Cumpas,MX,64,46,30,-109,52,4.0
Uvalde,US,90,88,29,-99,73,10.0
Chalmette,US,75,61,29,-89,81,14.0
Ormond Beach,US,40,53,29,-81,78,9.0
Hamilton,BM,75,51,32,-64,62,9.0
Saint George,BM,75,51,32,-64,62,9.0
Ribeira Grande,PT,40,82,38,-28,57,10.0
Nalut,LY,0,62,31,10,57,8.0
Ajdabiya,LY,0,82,30,20,56,8.0
Madinat Sittah Uktubar,EG,0,42,29,31,66,6.0
Zabol,IR,40,42,31,61,64,6.0
Barkhan,PK,56,97,29,69,50,3.0
Bageshwar,IN,12,68,29,79,40,3.0
Enshi,CN,100,96,30,109,45,2.0
Fuyang,CN,32,93,32,115,46,8.0
Kaseda,JP,20,100,31,130,58,31.0
Shimoda,JP,75,93,34,138,48,4.0
Severo-Kurilsk,RU,68,100,50,156,27,29.0
Fortuna,US,90,61,40,-124,50,13.0
Pacifica,US,90,66,37,-122,52,11.0
Santa Maria,US,1,37,34,-120,55,4.0
Winslow,US,75,45,35,-110,46,10.0
Elk City,US,1,21,35,-99,68,14.0
Southaven,US,90,100,34,-90,66,6.0
Rockingham,US,90,76,34,-79,58,0.0
Torbay,CA,90,100,47,-52,31,8.0
Methoni,GR,20,52,36,21,46,4.0
Kumluca,TR,20,96,36,30,32,1.0
Abu Kamal,SY,0,85,34,40,41,2.0
Tafresh,IR,24,88,34,50,34,1.0
Torbat-e Jam,IR,92,100,35,60,47,2.0
Tagab,AF,75,76,34,69,48,3.0
Leh,IN,88,86,34,77,6,0.0
Xining,CN,20,75,36,101,22,2.0
Weinan,CN,80,53,34,109,50,4.0
Rizhao,CN,64,58,35,119,41,20.0
Fukuma,JP,75,71,33,130,48,21.0
Kamogawa,JP,75,93,35,140,52,10.0
Kamaishi,JP,92,96,39,141,41,19.0
Nikolskoye,RU,75,84,59,30,6,6.0
Provideniya,RU,92,100,64,-173,23,29.0
Kodiak,US,90,87,39,-94,55,5.0
Sun Valley,US,40,62,43,-114,19,2.0
Price,US,12,62,39,-110,32,3.0
Lexington,US,90,87,38,-84,54,6.0
Jacksonville,US,90,60,30,-81,77,11.0
Uniontown,US,40,46,39,-79,60,14.0
Nantucket,US,1,70,41,-70,49,18.0
Port Hawkesbury,CA,90,92,45,-61,28,8.0
Vila Franca do Campo,PT,40,82,37,-25,55,19.0
Peniche,PT,75,100,39,-9,58,18.0
Burriana,ES,75,87,39,0,50,5.0
Tortoli,IT,90,87,39,9,44,11.0
Delvine,AL,75,49,39,20,46,11.0
Bozuyuk,TR,75,95,39,30,32,12.0
Bayburt,TR,56,80,40,40,28,4.0
Hazorasp,UZ,75,93,41,61,37,4.0
Aksu,CN,0,66,41,80,16,3.0
Korla,CN,0,78,41,86,22,1.0
Zhangye,CN,44,71,38,100,25,3.0
Dongsheng,CN,32,82,29,112,46,9.0
Qinhuangdao,CN,0,27,39,119,22,8.0
Khasan,RU,88,100,42,130,29,9.0
Tenno,JP,92,100,39,139,41,27.0
Bethel,US,20,84,60,-161,1,8.0
Sitka,US,0,62,37,-99,60,8.0
Newport,US,1,57,41,-71,51,14.0
Hermiston,US,1,57,45,-119,46,5.0
Livingston,US,1,34,45,-110,30,20.0
Pierre,US,0,79,44,-100,37,8.0
Merrill,US,90,74,42,-121,28,3.0
Midland,CA,90,82,44,-79,54,11.0
Madison,US,90,93,43,-89,41,10.0
Lagoa,PT,40,93,37,-8,60,24.0
Carballo,ES,75,87,43,-8,43,2.0
Libourne,FR,90,86,44,0,40,5.0
Cremona,IT,75,54,45,10,30,6.0
Sulina,RO,76,100,45,29,20,21.0
Novolabinskaya,RU,0,75,45,39,41,15.0
Fort-Shevchenko,KZ,56,100,44,50,36,14.0
Sarkand,KZ,92,100,45,79,32,3.0
Hovd,MN,32,52,48,91,11,3.0
Darhan,MN,56,54,49,105,-7,3.0
Chaihe,CN,76,90,44,129,24,6.0
Wakkanai,JP,20,100,45,141,29,19.0
Port Hardy,CA,90,86,50,-127,39,23.0
Peachland,CA,75,92,49,-119,31,2.0
Maple Creek,CA,0,76,49,-109,32,7.0
Brandon,CA,20,67,49,-99,23,9.0
Thunder Bay,CA,5,59,48,-89,32,3.0
Cochrane,CA,40,36,51,-114,31,12.0
Forestville,CA,90,92,48,-69,26,16.0
Saint-Augustin,CA,90,69,45,-73,42,4.0
Bonavista,CA,92,98,48,-53,32,12.0
Nanortalik,GL,32,98,60,-45,33,35.0
Dingle,IE,44,100,52,-10,33,29.0
Skibbereen,IE,75,100,51,-9,24,21.0
Fecamp,FR,0,38,49,0,26,21.0
Werneck,DE,75,56,49,10,16,14.0
Wieliczka,PL,75,78,49,20,14,5.0
Fastiv,UA,90,72,50,29,10,13.0
Mitrofanovka,RU,92,88,49,39,16,17.0
Ozinki,RU,0,76,51,49,-3,10.0
Dombarovskiy,RU,0,76,50,59,0,8.0
Astana,KZ,75,84,51,71,8,11.0
Semey,KZ,92,91,50,80,21,4.0
Mugur-Aksy,RU,32,79,50,90,17,4.0
Moron,MN,0,41,47,110,-15,5.0
Krasnyy Chikoy,RU,0,48,50,108,-18,2.0
Hailar,CN,68,69,49,119,0,8.0
Novobureyskiy,RU,76,75,49,129,7,6.0
Vysokogornyy,RU,36,63,50,139,-9,2.0
Vostok,RU,88,75,46,135,15,4.0
Petropavlovsk-Kamchatskiy,RU,24,42,53,158,26,15.0
Egvekinot,RU,92,65,66,-179,-4,2.0
Prince Rupert,CA,90,93,54,-130,35,3.0
Beaverlodge,CA,20,58,55,-119,26,10.0
The Pas,CA,75,68,53,-101,24,11.0
Port-Cartier,CA,88,99,50,-66,21,21.0
Grindavik,IS,76,98,63,-22,41,12.0
Vestmannaeyjar,IS,48,100,63,-20,37,6.0
Ballina,IE,40,92,54,-9,24,11.0
Scarborough,GB,80,81,54,0,28,21.0
Guderup,DK,75,79,54,9,22,32.0
Spas-Klepiki,RU,56,71,55,40,1,11.0
Bazarnyye Mataki,RU,0,47,54,49,-15,3.0
Turgoyak,RU,32,71,55,60,-2,4.0
Bulaevo,KZ,76,86,54,70,4,11.0
Kargat,RU,92,84,55,80,2,11.0
Atagay,RU,64,82,55,99,-2,2.0
Kurumkan,RU,0,46,54,110,-31,1.0
Tupik,RU,48,59,54,119,-8,3.0
Mnogovershinnyy,RU,0,58,53,139,-12,3.0
Magadan,RU,32,82,59,150,-20,2.0
Sterling,US,1,34,39,-77,61,11.0
Haines Junction,CA,68,70,60,-137,4,5.0
Juneau,US,90,89,58,-134,31,8.0
Fort Nelson,CA,0,56,58,-122,22,7.0
Yellowknife,CA,75,77,62,-114,-2,2.0
Thompson,CA,80,79,55,-97,26,4.0
Iqaluit,CA,88,91,63,-68,23,7.0
Pangnirtung,CA,36,75,66,-65,25,8.0
Paamiut,GL,92,80,61,-49,36,32.0
Lerwick,GB,40,73,60,-1,24,14.0
Vikersund,NO,56,67,59,9,8,4.0
Lisiy Nos,RU,75,84,60,30,6,6.0
Kharovsk,RU,44,70,59,40,1,3.0
Raduzhnyy,RU,8,65,62,77,-34,3.0
Volchansk,RU,48,71,59,60,-6,6.0
Gornopravdinsk,RU,0,52,60,69,-17,2.0
Kargasok,RU,20,50,59,80,-17,3.0
Teya,RU,20,55,60,92,-19,2.0
Kodinsk,RU,44,68,58,99,-9,2.0
Yerbogachen,RU,36,52,61,108,-18,3.0
Solnechnyy,RU,48,63,50,136,-8,4.0
Arman,RU,32,82,59,150,-20,2.0
Palana,RU,92,76,59,159,12,5.0
Tilichiki,RU,92,85,60,166,28,11.0
Lavrentiya,RU,88,100,65,-170,21,18.0
College,US,20,83,64,-147,-6,3.0
Mayo,CA,0,59,63,-135,3,4.0
Norman Wells,CA,90,70,65,-126,1,20.0
Hay River,CA,8,68,60,-115,21,3.0
Nuuk,GL,92,100,64,-51,18,5.0
Tasiilaq,GL,56,97,65,-37,22,12.0
Brae,GB,40,73,60,-1,24,14.0
Skelleftea,SE,0,71,64,20,6,8.0
Kostomuksha,RU,20,68,64,30,2,7.0
Severodvinsk,RU,0,84,64,39,8,11.0
Koslan,RU,80,75,63,48,12,8.0
Inta,RU,88,88,66,60,16,12.0
Yar-Sale,RU,88,88,66,70,8,30.0
Urengoy,RU,76,72,65,78,-10,22.0
Turukhansk,RU,64,55,65,87,-19,17.0
Tura,RU,8,46,64,100,-29,2.0
Aykhal,RU,0,61,65,111,-34,3.0
Verkhnevilyuysk,RU,44,50,63,120,-17,5.0
Namtsy,RU,36,39,62,129,-25,4.0
Ust-Nera,RU,56,76,64,143,-10,1.0
Zyryanka,RU,48,78,65,150,-12,2.0
Evensk,RU,80,100,61,159,11,18.0
Barrow,US,90,82,39,-90,55,5.0
Aklavik,CA,36,76,68,-135,-6,8.0
Tuktoyaktuk,CA,8,68,69,-133,-9,17.0
Clyde River,CA,12,83,70,-68,-5,3.0
Upernavik,GL,80,90,72,-56,13,5.0
Ilulissat,GL,44,84,69,-51,-1,2.0
Hofn,IS,88,100,64,-15,39,4.0
Raudeberg,NO,0,37,61,5,19,14.0
Sorland,NO,75,100,67,12,32,6.0
Lyngseidet,NO,75,55,69,20,35,33.0
Vadso,NO,75,91,70,29,32,20.0
Ostrovnoy,RU,92,89,68,39,23,19.0
Tazovskiy,RU,80,69,67,78,-5,24.0
Talnakh,RU,80,76,69,88,-12,24.0
Khatanga,RU,88,78,71,102,-7,10.0
Zhigansk,RU,24,69,66,123,-23,4.0
Tiksi,RU,12,78,71,128,-38,3.0
Deputatskiy,RU,56,81,69,139,-14,2.0
Chokurdakh,RU,68,52,70,147,-17,9.0
Cherskiy,RU,56,66,68,161,-8,2.0
Pevek,RU,36,90,69,170,-6,5.0
Qaanaaq,GL,64,78,77,-69,16,12.0
Narsaq,GL,88,65,60,-46,19,4.0
Husavik,IS,92,100,66,-17,30,5.0
Roald,NO,20,49,62,6,19,14.0
Skjervoy,NO,75,55,70,20,39,33.0
Berlevag,NO,88,100,70,29,29,9.0
Dikson,RU,44,85,73,80,2,17.0
Saskylakh,RU,0,45,71,114,-28,11.0
Longyearbyen,SJ,0,76,78,15,-3,3.0
Mehamn,NO,88,90,71,27,28,6.0
